#Table 2: Descomposition of the Energy Difference
Name,dE^{LJ},err,dE^{CRF},err,dE^{tot},err
Alanine,0.7923748431458262,1.6805457800637187,-13.93801832736784,2.6528102759223486,-13.62717739409604,1.6261098142831263
Arginine,21.075235252909856,14.609484313841975,-63.5886592553063,16.532159427912116,-41.03789850387306,4.999244393267801
Arginine_H+,-11.45112436825438,9.546221584335223,-38.102987572213635,12.720134050266479,-54.25553776442574,9.113005441793252
Asparagine,-1.4305441925951818,4.03091204971791,-23.278564085740683,5.401273106286587,-27.41593588962342,3.337935008508611
Aspartic_Acid,-9.953482131688295,1.710285258176467,-1.314897306245548,2.66185759806384,-10.164787219638878,1.5241738271814371
Aspartic_Acid_H+,-1.8420371550590136,1.8123866468486305,-23.584294078681356,3.0081656180357843,-30.8541217154981,4.362684796163704
Cysteine_H+,-1.4428080309439792,2.036108686690539,-15.12479799115233,3.08575504668219,-17.05542558174877,1.7869239989997556
Glutamic_Acid,-9.141137016815824,1.6677438476731012,-0.03874669855090906,2.5734523814493335,-5.934788959471305,1.4109099391186537
Glutamic_Acid_H+,-7.933190604279389,2.3544779485329137,-20.647790407597203,2.7304779700311785,-33.322464363928944,6.6871183474113245
Glutamine,-9.21095640108783,1.5889379311603473,-14.39544330599418,2.494162844781615,-25.088345914628473,1.3888594531197462
Glycine,-0.3105038594791331,1.460221910976639,-15.684515010682865,2.291034677082075,-16.632356725420685,1.3137604472004045
Histidine_2H+,-6.584395740819131,1.5427465783840408,-32.380844079444536,2.4018275721843843,-39.054589767785565,1.4005756794712911
Histidine_H+_ND1,-10.545835565412897,1.6240309917639093,-14.946210564098262,2.5241902400356038,-25.451001891649444,1.3885420406119549
Isoleucine,-1.2270052244704057,1.5980853393373613,-14.691023676909127,2.4922564241528704,-16.158717560566817,1.4097432476343408
Leucine,-0.15785568019386848,2.648203098310749,-17.822308453142643,3.9613567871369866,-18.95671777559098,2.2144245100302506
Lysine,8.489501535874945,8.840362801861843,-32.364655628693114,9.622298022690481,-26.042378031882894,3.099964293372731
Lysine_H+,6.635333333756658,1.7299028612888272,-33.49821424814555,2.8466284641364794,-28.424854383071537,1.6009308504533708
Methionine,6.762328707033281,4.797855101571825,-44.849347269589316,10.594880497232126,-39.46264664738683,6.534182083023347
Phenylalanine,-0.9886618561046889,1.7233440741166006,-26.632382962765142,2.6765695401518754,-27.906214033270196,1.487276230685334
Proline,7.290478889859478,1.5901119630659308,-31.69176790993189,2.5651751597980055,-25.05494200052877,1.4902177632151912
Serine,-1.2667114240393238,1.6664406895911203,-15.515980712146993,2.7573644192278657,-16.155452857306315,1.5995799337469137
Threonine,-3.527616603562179,1.6954863909753013,-13.12378345120515,2.659204113432007,-16.831132620808958,1.4637611974946019
Tryptophan,-7.917533682875372,1.5242632762491373,-24.602983441656544,2.5008712700022486,-33.768814506633326,1.424615937395312
Tyrosine,-5.376788468238556,1.7527451282567175,-25.032083859663107,2.709444269087059,-31.171758461974502,1.5014373247796686
Valine,-1.222761709516526,2.0455795464957838,-10.48654649883465,3.089926083476994,-11.923662864054291,1.8419947674309254
Water,-0.7681431035817259,3.1284399718766505,-2.7595704351597234,4.907182900653762,-1.7741297282352315,2.715102102913248
Glutamic_Acid*,-14.754251395230341,2.304773047387372,11.536678622358012,3.6433445967033844,-0.015073703186411876,2.058081542756228
