#Table 2: Descomposition of the Energy Difference,,,,,,
Name,dE^{LJ},err,dE^{CRF},err,dE^{tot},err
Alanine,-1.48,1.66,-10.85,2.69,-12.84,1.58
Arginine,-11.87,1.80,-14.47,3.11,-26.69,1.89
Arginine_H+,0.74,2.05,-60.07,3.27,-62.76,1.73
Asparagine,-8.46,1.56,-12.77,2.93,-21.15,1.94
Aspartic_Acid,-12.73,1.79,3.87,2.84,-8.57,1.71
Aspartic_Acid_H+,-2.25,1.59,-22.27,2.66,-24.87,1.62
Cysteine_H+,-1.72,1.45,-16.45,2.44,-18.35,1.56
Glutamic_Acid,-13.41,2.03,5.01,3.12,-5.80,1.72
Glutamic_Acid_H+,-6.96,2.70,-18.41,3.90,-25.74,2.32
Glutamine,-10.17,1.51,-11.63,2.72,-23.35,1.83
Glycine,3.65,5.50,-25.31,9.57,-22.86,5.27
Histidine_2H+,-3.52,1.94,-36.43,3.05,-40.45,1.62
Histidine_H+_ND1,-11.78,1.63,-14.86,2.43,-27.36,1.65
Isoleucine,2.16,1.78,-21.53,2.82,-19.69,1.76
Leucine,-1.05,1.73,-20.37,2.69,-21.54,1.64
Lysine,5.65,2.00,-34.03,3.06,-29.34,1.72
Lysine_H+,7.26,2.15,-35.22,3.10,-28.48,1.69
Methionine,-0.19,3.20,-26.00,5.12,-25.46,2.92
Phenylalanine,-1.02,1.92,-25.36,3.09,-25.90,1.79
Proline,11.06,1.72,-37.43,2.64,-26.00,1.53
Serine,-2.77,2.68,-19.27,4.56,-21.65,2.71
Threonine,-1.20,2.06,-14.39,3.26,-15.72,1.91
Tryptophan,-10.93,2.10,-21.27,3.05,-34.37,1.60
Tyrosine,-6.08,1.83,-23.82,2.93,-30.50,1.65
Valine,-0.58,2.30,-13.33,3.15,-13.46,1.66
Water,-2.93,8.20,7.21,11.13,4.28,6.36
