#Table 1: Free energy, Energy and Entropy of adsorption
Name,dA,err,dE,err,TdS,err
Alanine,-9.610938124929573,0.051956978745565596,-13.134632852674084,1.5985763323424795,-3.5236947277445108,1.5994204631571716
Arginine,-20.696355570427666,0.038679114552799,-42.33468403428327,3.6399085030610463,-21.638328463855604,3.6401140070825657
Arginine_H+,-18.503782230267646,0.04281174892013733,-52.92036804635721,6.250732882419717,-34.416585816089565,6.250879491176318
Asparagine,-13.923722254523057,0.04240461923593369,-24.847368763417386,1.8343912267637124,-10.923646508894329,1.83488128350589
Aspartic_Acid,-9.451411870117173,0.04647342230865554,-10.969224975138088,1.6258942627806077,-1.517813105020915,1.626558309045198
Aspartic_Acid_H+,-15.92307920048602,0.0391434705733694,-25.905607373649634,2.1005615497203602,-9.982528173163614,2.1009262327488156
Cysteine_H+,-13.303102623308433,0.04829179628666725,-16.553622723785143,1.7087595189533675,-3.2505201004767095,1.7094417776579396
Glutamic_Acid,-7.486513072663577,0.030617551586619364,-6.258855518078985,1.4941334153488794,1.2276575545845922,1.4944470874966655
Glutamic_Acid_H+,-17.239536110106545,0.04789614709896472,-28.214701205951716,3.0349653908962844,-10.97516509584517,3.0353433026340135
Glutamine,-16.44589974955283,0.04831510565261415,-23.999148245800228,1.458908348933865,-7.553248496247399,1.4597081626212685
Glycine,-7.962999166575663,0.039933488842284995,-16.271251142708234,1.3770094919684202,-8.30825197613257,1.3775884089604715
Histidine_2H+,-12.30854071474255,0.05100660791908835,-39.44026658476621,1.4464523833456095,-27.131725870023665,1.447351433252341
Histidine_H+_ND1,-18.23996500167746,0.04300998553277037,-25.61040714882733,1.4497919252492892,-7.37044214714987,1.4504297588554813
Isoleucine,-14.346022344037042,0.05695068094122623,-16.47372127593463,1.496371690115546,-2.127698931897587,1.4974550460828282
Leucine,-15.260729484303967,0.047378985513633794,-18.373055277611215,1.9397737177263887,-3.1123257933072477,1.9403522474670305
Lysine,-17.746948217573305,0.046981252996926536,-24.99854004250784,2.6069246154870003,-7.251591824934536,2.607347922500027
Lysine_H+,-11.380894391256168,0.05730148531441669,-27.431968632676114,1.6790016146121725,-16.051074241419947,1.67997913144465
Methionine,-19.38873805060104,0.04282720794297599,-38.31102554306364,6.045448765797009,-18.9222874924626,6.045600462287991
Phenylalanine,-18.40142606673651,0.07864462315139245,-27.364967408506143,1.552533567610745,-8.963541341769634,1.554524189361096
Proline,-5.987965463972075,0.03452310070449395,-24.070959666893906,1.5661377082527332,-18.08299420292183,1.566518166410264
Serine,-11.223038532895742,0.048986620855164004,-16.303981454449765,1.6391177210705914,-5.080942921554023,1.6398495639998374
Threonine,-13.04153859681097,0.04678150781963986,-16.601974949844763,1.5305015129328714,-3.5604363530337935,1.53121631083387
Tryptophan,-26.15313294638663,0.008829935361686908,-33.18931820910453,1.4916243684385533,-7.036185262717897,1.491650503394882
Tyrosine,-27.516891813135242,0.008746807455457655,-30.682985019134037,1.579025899672506,-3.166093205998795,1.5790501253846345
Valine,-12.611587300465164,0.041986573242372566,-11.484235886375041,1.6765825847150615,1.127351414090123,1.6771082361322043
Water,3.2692827127958726,0.11217215176155432,-3.5277137518563833,2.8473355805752574,-6.796996464652256,2.849544261814625
Glutamic_Acid*,-7.486513072663577,0.030617551586619364,-0.06703524678386748,2.1844676161957564,7.419477825879709,2.1846821738351623
