#Table 3: Descomposition of the Internal energy differences
Name,IntE,err,ExtE,err,IntLJ,err,IntCRF,err,IntBonds,err,IntAngles,err,IntImproper,err,IntDihedral,err,IntCross,err
Alanine,-1.731111671325042,0.10830389679495697,-11.403521181349042,1.6022409383068785,-0.15297171453884523,0.015980076093208683,-1.5891528332668394,0.09347010725675278,0.0,0.0,-0.18137712274396584,0.02783410046541805,-0.02512979319992494,0.007122482665022715,0.21751979257714965,0.01767276081715511,0.0,0.0
Arginine,-0.7564599664302815,0.23835115422899752,-41.578224067852986,3.647704097563069,-0.703666897334014,0.15956756149328472,-0.231542616850895,0.23054930512718252,0.0,0.0,0.14829056384209632,0.21953420642925864,0.08635040258746429,0.11183269379493138,-0.05589141968852725,0.16087986806483404,0.0,0.0
Arginine_H+,-5.910145471732503,0.4517954628549272,-47.010222574624706,6.267039229781428,-0.06913488466821595,0.05275925774953943,-2.474748941762714,0.3238361003380661,0.0,0.0,-0.6788024781802514,0.04089443983845997,-0.7417128378535427,0.06845523893243982,-1.9457463287925176,0.1661444779183153,0.0,0.0
Asparagine,-2.7049784024450707,0.2029077919656942,-22.142390360972314,1.8455792437248721,0.4892750958135683,0.0343489284294576,-3.055997586370015,0.21103988823281117,0.0,0.0,-0.02444752945214138,0.04523897589340754,-0.13397012487374313,0.013330300976839207,0.02016174085129591,0.03148247499710114,0.0,0.0
Aspartic_Acid,-1.4551762309182537,0.3092437068183204,-9.514048744219835,1.6550419402388663,-0.35830091615748977,0.045404960246793365,-1.3960283535083595,0.3254118455664051,0.0,0.0,0.03882968603855917,0.04107545629480839,-0.0297237842180173,0.010636539044936288,0.29004713686227934,0.028474490487123836,0.0,0.0
Aspartic_Acid_H+,-2.496082098296201,0.1544251825301579,-23.40952527535343,2.106230272587277,0.4874756787026221,0.023859041124405553,-2.504278677766812,0.14439377233221912,0.0,0.0,-0.17026681119984677,0.04898926049448891,-0.03922378640489774,0.01959419606208018,-0.26978850053143744,0.08559657853359136,0.0,0.0
Cysteine_H+,-1.3832082336126514,0.11289308144450533,-15.170414490172492,1.7124847273630734,0.19148875985433508,0.0215854350531543,-1.5886796663402654,0.10466576888139724,0.0,0.0,-0.12585113311023363,0.03608939257640077,-0.026252501555670448,0.008217046187847717,0.16608630768095076,0.029490667708378403,0.0,0.0
Glutamic_Acid,-39.69051105300895,0.7552309840014406,33.43165553492996,1.6741590432386915,5.4755882774467315,0.10518441519190269,-48.08712743563978,0.8651943226281261,0.0,0.0,0.9748705456450311,0.04903905911030349,0.1923536709704514,0.011107675261252302,1.7538038889241598,0.042654354818056156,0.0,0.0
Glutamic_Acid_H+,2.3218493996162612,0.22060856460181225,-30.536550605567978,3.0429727344677127,0.6199597522184199,0.04167649999640148,1.335617787335058,0.20371122690953017,0.0,0.0,0.14422753519938497,0.05554961903771299,0.09960249863325486,0.01554734960636519,0.12244182666878174,0.07578047933669187,0.0,0.0
Glutamine,-0.37556442981078625,0.15284170904156688,-23.62358381598944,1.4668926881717297,0.2586888168505202,0.02501441357682508,-0.24150506025158341,0.16133792803336616,0.0,0.0,-0.15259169465635425,0.03560692643064795,-0.003902555861252753,0.01324323463528842,-0.23625393697791905,0.03553181092983508,0.0,0.0
Glycine,-1.166223967465895,0.10166346871270558,-15.10502717524234,1.3807572566681756,-0.041740269549463506,0.012296398168641538,-0.8482525052364972,0.08739969012089129,0.0,0.0,-0.11553480921563054,0.021075333703290965,-0.03736182071227643,0.005379288164384313,-0.12333456296842531,0.01469428002514256,0.0,0.0
Histidine_2H+,-2.3916370687307973,0.19706054388183541,-37.04862951603542,1.4598141509251097,0.6134501836259973,0.026008168700824622,-2.530055257705156,0.18644413881062666,0.0,0.0,-0.2590470815812109,0.03453423780450384,-0.2384505201228119,0.015810571127173306,0.022465607405238296,0.02731994331262749,0.0,0.0
Histidine_H+_ND1,-2.6299777791109276,0.15275816512039087,-22.980429369716404,1.4578174383402709,0.4144974028702649,0.02443813088527685,-2.926116637140595,0.1403009689678899,0.0,0.0,-0.1134055276504812,0.0330629774477514,-0.016854027530375588,0.013668353195317128,0.01190101037444967,0.02999535765313753,0.0,0.0
Isoleucine,-3.583219925981654,0.13509666833590692,-12.890501349952975,1.5024577680503095,-0.03040575147416437,0.037349806703519416,-2.997123204582914,0.10308099276912235,0.0,0.0,-0.5204019075730089,0.03377510676285894,-0.08834379068163034,0.012869248370195508,0.05305472843478246,0.025886479843872785,0.0,0.0
Leucine,-1.2765018381865767,0.12221383588662896,-17.09655343942464,1.9436198953664214,-0.3031114453388107,0.038869115024295735,-0.5805001122835475,0.13341213840369343,0.0,0.0,-0.7060226451820633,0.054347919901960286,-0.050531636038283284,0.022046217786811276,0.36366400042543784,0.030243405930751813,0.0,0.0
Lysine,-2.6162511172918994,0.11383943970802027,-22.382288925215942,2.609409007584875,-0.1774759959765143,0.0421766461975438,-1.3153843343723888,0.12399247699526657,0.0,0.0,-0.4028094240485483,0.0914869319838089,-0.022245761020904933,0.014756831215846526,-0.6983356018809852,0.1121258360799379,0.0,0.0
Lysine_H+,-3.090456115393488,0.18438097802623157,-24.341512517282624,1.6890952509933215,-0.17698921054979025,0.027774526339903873,-2.344376756974128,0.17870689045636629,0.0,0.0,-0.22178335370512395,0.03687976011517027,-0.03307308544448028,0.008170738317366538,-0.31423370678157003,0.04114825174352572,0.0,0.0
Methionine,-1.204247480413758,0.1992054485870186,-37.10677806264989,6.048729915496586,0.33424860746031004,0.07791536859314115,-1.3144895405639054,0.18200287588527864,0.0,0.0,-0.15137795040719706,0.08046177154627678,-0.014550018065219128,0.020975509379120818,-0.058078578618701845,0.06409052635547427,0.0,0.0
Phenylalanine,-2.6292995232489837,0.13486535932600446,-24.735667885257158,1.5583802949550793,0.18306022586960569,0.023966522504500588,-3.0684371683866654,0.11427627931665855,0.0,0.0,0.19069918972947228,0.04195248116634187,0.09552964062341496,0.02081063974691787,-0.030151411370909324,0.033192535396304665,0.0,0.0
Proline,0.449943440069698,0.10531381231562259,-24.520903106963605,1.5696745905682405,-0.10862515582883256,0.011357703151860432,0.22824022088028784,0.09339769995038795,0.0,0.0,-0.033777048354210006,0.0336562106345767,0.01062747123015673,0.006100722132606305,0.35347795462281645,0.03281863801641226,0.0,0.0
Serine,-0.04731911378051612,0.13185750818124256,-16.256662340669248,1.644412754143988,0.28089977472255623,0.036808833380013936,-0.8069293714845138,0.14590140660259823,0.0,0.0,0.3326230530524317,0.04466016696829538,0.08044519122198356,0.008810438648494923,0.06564223846068042,0.023345430836842915,0.0,0.0
Threonine,-1.6213913589535855,0.10613114401210512,-14.980583590891177,1.5341768805516287,0.17761215328096713,0.04329297324359886,-1.8484267155053962,0.10631038162440597,0.0,0.0,0.045570167331057204,0.0436285266437847,0.08232192447516397,0.010270344929190873,-0.0784688883119864,0.02620849765159732,0.0,0.0
Tryptophan,-6.364498883937069,0.1211721667934013,-26.82481932516746,1.4965379883334473,0.4410788317878253,0.023298781558728263,-6.136776523387818,0.10377122623896959,0.0,0.0,-0.18685760363830642,0.034083184096751346,-0.2203977200890576,0.020291828232571595,-0.26154586850111955,0.025690164155072477,0.0,0.0
Tyrosine,-1.489973218753616,0.14468886885374507,-29.19301180038042,1.5856410882058851,0.4771637112150153,0.023755181851899884,-1.6930243762205168,0.12289151996381216,0.0,0.0,0.44439384284929623,0.04187080268938922,-0.1313488828556279,0.021373844489096218,-0.5871575124955998,0.035717049555751994,0.0,0.0
Valine,-0.5950221051308598,0.13138831040047483,-10.88921378124418,1.6817229413550046,0.12598776799509806,0.030170574515980417,-0.9460842922199456,0.09957044879876875,0.0,0.0,-0.09661471389620226,0.03350705532419884,0.024927739203438964,0.014106691776065461,0.2967613938744507,0.023744875055829496,0.0,0.0
Water,-4.910464449028873e-08,4.300745125378355e-08,-3.527713702751739,2.847335580575258,0.0,0.0,-4.910464449028873e-08,4.300745125378355e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glutamic_Acid*,-16.9469805810338,0.8643757218701444,16.879945334249932,2.3492645987130745,3.258126032628542,0.1385936452301019,-23.35564373492996,0.9949073879324748,0.0,0.0,0.7752837899601275,0.06745452475749592,0.2222344069754837,0.015253172255641956,2.1530189261996773,0.07447174300877148,0.0,0.0
